tpep_production_datetime,latitude,longitude
2012-06-19T06:00:00.000,40.765823, -73.987169
2014-10-24T09:00:00.000,40.727790, -73.947605
2015-06-08T00:00:00.000,40.759260, -73.989860
2013-11-21T06:00:00.000,40.747155, -73.939750
2016-02-04T06:00:00.000,40.734012, -74.006746
2012-01-18T06:00:00.000,40.704160, -73.921139
2014-02-05T10:00:00.000,40.802381, -73.952681
2016-06-17T06:00:00.000,40.727790, -73.947605
2014-07-10T12:00:00.000,40.701954, -73.942358
2012-03-19T07:00:00.000,40.715775, -73.986212
2013-02-26T07:00:00.000,40.727790, -73.947605
2016-11-30T03:00:00.000,40.725581, -73.998078
2014-12-12T09:00:00.000,40.820479, -73.925084
2014-09-12T09:00:00.000,40.662688, -73.986740
2016-11-30T08:30:00.000,40.704160, -73.921139
2016-11-30T00:01:00.000,40.731829, -73.989181
2014-10-28T00:01:00.000,40.694696, -73.966286
2012-10-25T06:00:00.000,40.739065, -73.982255
2015-01-29T00:01:00.000,40.765823, -73.987169
2012-02-06T05:00:00.000,40.795455, -73.929655
2013-04-15T09:00:00.000,40.713848, -74.007755
2012-01-20T00:01:00.000,40.720103, -74.004903
2016-01-15T18:00:00.000,40.712597, -73.953098
2015-01-02T09:00:00.000,40.755319, -73.993114
2016-11-30T07:00:00.000,40.688630, -74.018244
2015-10-20T14:00:00.000,40.759260, -73.989860
2015-09-24T08:00:00.000,40.747155, -73.939750
2012-07-28T06:00:00.000,40.693682, -73.989693
2014-08-19T10:00:00.000,40.712597, -73.953098
2016-11-30T08:00:00.000,40.531346, -74.219857
2012-03-22T06:29:00.000,40.731829, -73.989181
2012-05-09T06:30:00.000,40.709278, -74.002562
2012-02-17T06:00:00.000,40.750633, -73.997177
2013-11-20T06:00:00.000,40.693682, -73.989693
2014-08-01T06:00:00.000,40.727790, -73.947605
2013-10-01T08:00:00.000,40.713848, -74.007755
2014-01-16T01:00:00.000,40.759260, -73.989860
2012-08-20T09:00:00.000,40.688630, -74.018244
2016-11-30T09:00:00.000,40.747155, -73.939750
2013-12-07T07:00:00.000,40.597139, -73.973428
2016-11-30T06:00:00.000,40.727790, -73.947605
2012-11-08T09:00:00.000,40.765823, -73.987169
2016-11-30T06:00:00.000,40.747155, -73.939750
2016-11-30T07:00:00.000,40.742039, -74.000620
2016-11-30T04:00:00.000,40.765823, -73.987169
2015-04-20T08:00:00.000,40.715775, -73.986212
2015-03-24T22:30:00.000,40.750633, -73.997177
2013-10-22T06:30:00.000,40.662688, -73.986740
2015-02-18T07:00:00.000,40.727790, -73.947605
2014-03-27T04:00:00.000,40.759260, -73.989860
2014-12-08T06:00:00.000,40.750633, -73.997177
2015-10-09T06:00:00.000,40.656546, -74.007355
2015-05-04T07:00:00.000,40.742039, -74.000620
2015-02-13T02:00:00.000,40.759260, -73.989860
2013-07-27T09:00:00.000,40.762211, -73.931528
2015-08-22T06:00:00.000,40.720103, -74.004903
2016-04-12T06:00:00.000,40.715775, -73.986212
2016-11-30T06:00:00.000,40.693682, -73.989693
2016-11-30T08:00:00.000,40.727790, -73.947605
2016-04-20T06:00:00.000,40.677916, -74.005154
2015-09-14T12:01:00.000,40.798601, -73.966622
2014-05-06T06:00:00.000,40.725581, -73.998078
2015-03-03T06:00:00.000,40.747155, -73.939750
2013-06-27T06:00:00.000,40.701954, -73.942358
2012-10-27T06:00:00.000,40.742039, -74.000620
2012-06-30T08:00:00.000,40.750633, -73.997177
2013-05-29T07:00:00.000,40.747155, -73.939750
2015-07-22T08:00:00.000,40.713848, -74.007755
2014-05-14T07:00:00.000,40.868093, -73.899730
2015-09-21T08:00:00.000,40.731829, -73.989181
2016-11-30T07:00:00.000,40.731829, -73.989181
2012-01-19T07:00:00.000,40.747155, -73.939750
2014-10-08T08:00:00.000,40.727790, -73.947605
2013-03-28T07:00:00.000,40.734012, -74.006746
2016-04-20T10:00:00.000,40.727790, -73.947605
2016-11-30T06:00:00.000,40.759260, -73.989860
2015-07-15T01:00:00.000,40.775921, -73.982607
2013-06-13T06:00:00.000,40.701954, -73.942358
2016-05-04T08:00:00.000,40.727790, -73.947605
2016-11-30T08:00:00.000,40.750633, -73.997177
2016-11-30T06:00:00.000,40.747155, -73.939750
2015-09-03T08:30:00.000,40.858305, -73.930549
2013-12-08T04:00:00.000,40.759260, -73.989860
2013-10-13T22:00:00.000,40.680768, -73.949316
2016-11-30T06:00:00.000,40.762211, -73.931528
2016-11-30T06:00:00.000,40.727790, -73.947605
2012-05-21T06:00:00.000,40.765823, -73.987169
2013-07-26T06:00:00.000,40.715775, -73.986212
2012-08-09T07:00:00.000,40.727790, -73.947605
2013-08-09T14:00:00.000,40.759260, -73.989860
2016-01-11T06:00:00.000,40.693682, -73.989693
2014-08-06T07:00:00.000,40.724744, -73.909639
2013-05-01T07:00:00.000,40.776441, -73.953509
2013-10-25T07:00:00.000,40.747155, -73.939750
2012-05-11T06:00:00.000,40.694696, -73.966286
2016-11-30T06:00:00.000,40.758236, -73.978833
2016-11-30T00:01:00.000,40.750633, -73.997177
2016-06-22T06:00:00.000,40.727790, -73.947605
2014-02-13T07:00:00.000,40.727790, -73.947605
2014-10-22T06:00:00.000,40.747155, -73.939750
2016-02-05T06:00:00.000,40.727790, -73.947605
2015-03-30T07:00:00.000,40.707917, -73.828212
2013-02-15T06:00:00.000,40.742039, -74.000620
2012-10-02T01:00:00.000,40.712597, -73.953098
2012-08-27T07:00:00.000,40.747155, -73.939750
2014-11-20T09:00:00.000,40.720103, -74.004903
2012-03-21T07:00:00.000,40.571768, -74.125950
2012-04-05T18:00:00.000,40.727790, -73.947605
2016-04-14T09:00:00.000,40.786393, -73.810864
2015-09-16T06:00:00.000,40.747155, -73.939750
2014-03-22T02:00:00.000,40.742039, -74.000620
2015-03-21T06:00:00.000,40.731829, -73.989181
2014-03-04T07:00:00.000,40.739065, -73.982255
2013-02-27T10:00:00.000,40.742039, -74.000620
2016-04-11T07:00:00.000,40.742039, -74.000620
2014-05-21T07:00:00.000,40.682306, -73.978099
2012-09-25T07:00:00.000,40.747155, -73.939750
2013-03-14T07:00:00.000,40.811407, -73.953060
2013-05-19T05:00:00.000,40.731829, -73.989181
2015-10-19T07:00:00.000,40.727790, -73.947605
2014-03-17T09:00:00.000,40.693682, -73.989693
2012-05-11T00:01:00.000,40.750633, -73.997177
2013-06-23T03:00:00.000,40.759260, -73.989860
2013-08-28T07:00:00.000,40.720934, -73.846151
2016-11-30T07:00:00.000,40.742039, -74.000620
2015-07-30T07:00:00.000,40.727790, -73.947605
2012-05-01T11:00:00.000,40.765823, -73.987169
2014-09-30T08:00:00.000,40.707917, -73.828212
2016-11-30T06:00:00.000,40.775921, -73.982607
2013-02-21T08:30:00.000,40.630688, -74.137776
2015-04-08T07:00:00.000,40.700671, -73.889433
2012-05-07T07:00:00.000,40.693682, -73.989693
2016-03-21T07:00:00.000,40.693682, -73.989693
2015-11-28T06:00:00.000,40.765823, -73.987169
2014-12-14T06:00:00.000,40.720103, -74.004903
2013-09-04T17:00:00.000,40.551884, -74.147646
2016-11-30T06:00:00.000,40.764612, -73.963122
2016-07-08T06:00:00.000,40.762211, -73.931528
2012-09-26T20:00:00.000,40.758628, -73.967948
2012-11-28T07:00:00.000,40.850545, -73.933983
2012-03-12T11:00:00.000,40.693682, -73.989693
2013-11-13T07:00:00.000,40.765823, -73.987169
2014-06-28T06:00:00.000,40.731829, -73.989181
2013-08-20T07:00:00.000,40.727790, -73.947605
2013-09-12T06:00:00.000,40.747155, -73.939750
2013-10-20T00:00:00.000,40.745224, -73.978297
2012-06-23T07:00:00.000,40.679171, -73.963804
2012-04-26T07:00:00.000,40.726399, -73.978631
2016-11-30T09:00:00.000,40.727790, -73.947605
2016-06-21T08:00:00.000,40.712597, -73.953098
2014-07-10T16:00:00.000,40.724744, -73.909639
2012-07-24T06:00:00.000,40.747155, -73.939750
2012-08-13T00:00:00.000,40.759260, -73.989860
2013-10-17T16:30:00.000,40.693682, -73.989693
2013-06-16T08:30:00.000,40.725581, -73.998078
2014-01-17T09:30:00.000,40.758628, -73.967948
2016-12-01T08:00:00.000,40.688630, -74.018244
2015-04-29T07:00:00.000,40.693682, -73.989693
2015-10-08T08:00:00.000,40.700671, -73.889433
2014-03-31T06:30:00.000,40.750633, -73.997177
2016-04-04T07:00:00.000,40.765823, -73.987169
2012-03-22T07:00:00.000,40.727790, -73.947605
2013-06-27T00:00:00.000,40.759260, -73.989860
2012-04-09T06:00:00.000,40.750633, -73.997177
2014-02-13T06:00:00.000,40.747155, -73.939750
2015-08-28T07:00:00.000,40.750633, -73.997177
2015-03-03T14:00:00.000,40.820479, -73.925084
2015-11-03T09:00:00.000,40.750633, -73.997177
2014-04-14T06:30:00.000,40.693682, -73.989693
2012-08-29T07:00:00.000,40.776441, -73.953509
2013-11-14T07:00:00.000,40.747155, -73.939750
2014-10-08T06:00:00.000,40.727790, -73.947605
2016-12-01T07:00:00.000,40.764191, -73.772775
2016-04-29T00:01:00.000,40.750633, -73.997177
2014-07-09T08:00:00.000,40.750633, -73.997177
2014-11-05T06:00:00.000,40.750633, -73.997177
2012-09-28T07:00:00.000,40.747155, -73.939750
2014-01-27T06:00:00.000,40.775921, -73.982607
2016-03-11T06:00:00.000,40.765823, -73.987169
2016-12-01T00:01:00.000,40.750633, -73.997177
2015-03-20T08:00:00.000,40.747155, -73.939750
2013-10-12T00:01:00.000,40.765823, -73.987169
2013-02-08T03:00:00.000,40.759260, -73.989860
2016-03-21T19:00:00.000,40.752360, -73.972493
2015-05-21T05:00:00.000,40.727790, -73.947605
2015-08-06T11:00:00.000,40.765823, -73.987169
2013-05-31T00:01:00.000,40.765823, -73.987169
2016-12-01T10:00:00.000,40.742039, -74.000620
2016-07-15T15:00:00.000,40.671078, -73.936336
2014-03-04T12:00:00.000,40.898868, -73.903328
2016-03-03T06:00:00.000,40.811407, -73.953060
2016-12-01T06:00:00.000,40.609227, -74.092575
2015-10-08T07:00:00.000,40.577372, -73.988706
2016-12-01T06:00:00.000,40.762211, -73.931528
2013-02-11T06:00:00.000,40.791763, -73.943970
2016-12-01T07:00:00.000,40.646448, -73.956649
2016-04-15T07:00:00.000,40.682306, -73.978099
2014-12-07T17:00:00.000,40.715775, -73.986212
2012-04-30T05:00:00.000,40.725581, -73.998078
2014-06-18T07:00:00.000,40.759260, -73.989860
2016-05-10T05:00:00.000,40.759260, -73.989860
2012-12-09T06:00:00.000,40.731829, -73.989181
2015-11-09T07:00:00.000,40.747155, -73.939750
2016-12-01T07:00:00.000,40.734012, -74.006746
2014-04-11T11:00:00.000,40.727790, -73.947605
2014-11-10T06:00:00.000,40.747155, -73.939750
2016-12-01T07:00:00.000,40.677916, -74.005154
2015-11-02T16:00:00.000,40.726418, -73.861526
